"action_type","combined_shot_type","lat","loc_x","loc_y","lon","minutes_remaining","period","playoffs","season","seconds_remaining","shot_distance","shot_made_flag","shot_type","shot_zone_area","shot_zone_basic","shot_zone_range","game_month","matchup","opponent"
"Jump Shot","Jump Shot",34.0443,-157,0,-118.4268,10,1,0,"2000-01",22,15,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","10","Away","POR"
"Jump Shot","Jump Shot",33.9093,-101,135,-118.3708,7,1,0,"2000-01",45,16,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","10","Away","POR"
"Jump Shot","Jump Shot",33.8693,138,175,-118.1318,6,1,0,"2000-01",52,22,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","10","Away","POR"
"Driving Dunk Shot","Dunk",34.0443,0,0,-118.2698,6,2,0,"2000-01",19,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","10","Away","POR"
"Jump Shot","Jump Shot",34.0553,-145,-11,-118.4148,9,3,0,"2000-01",32,14,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","10","Away","POR"
"Layup Shot","Layup",34.0443,0,0,-118.2698,8,3,0,"2000-01",52,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","10","Away","POR"
"Jump Shot","Jump Shot",33.9363,-65,108,-118.3348,6,3,0,"2000-01",12,12,"1","2PT Field Goal","Left Side(L)","In The Paint (Non-RA)","8-16 ft.","10","Away","POR"
"Running Jump Shot","Jump Shot",33.9193,-33,125,-118.3028,3,3,0,"2000-01",36,12,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","10","Away","POR"
"Jump Shot","Jump Shot",33.8063,-94,238,-118.3638,1,3,0,"2000-01",56,25,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","10","Away","POR"
"Jump Shot","Jump Shot",33.9173,121,127,-118.1488,11,1,0,"2000-01",0,17,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Home","UTA"
"Running Jump Shot","Jump Shot",33.9343,-67,110,-118.3368,7,1,0,"2000-01",9,12,"1","2PT Field Goal","Left Side(L)","In The Paint (Non-RA)","8-16 ft.","11","Home","UTA"
"Jump Shot","Jump Shot",34.0403,-94,4,-118.3638,2,1,0,"2000-01",44,9,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Home","UTA"
"Jump Shot","Jump Shot",33.9973,-23,47,-118.2928,1,1,0,"2000-01",16,5,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Home","UTA"
"Jump Shot","Jump Shot",33.8523,62,192,-118.2078,0,1,0,"2000-01",48,20,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","11","Home","UTA"
"Jump Shot","Jump Shot",33.8183,-117,226,-118.3868,8,2,0,"2000-01",50,25,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","11","Home","UTA"
"Jump Shot","Jump Shot",33.9473,-132,97,-118.4018,11,3,0,"2000-01",29,16,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","UTA"
"Jump Shot","Jump Shot",33.9003,3,144,-118.2668,10,3,0,"2000-01",8,14,"0","2PT Field Goal","Center(C)","Mid-Range","8-16 ft.","11","Home","UTA"
"Jump Shot","Jump Shot",33.9173,134,127,-118.1358,9,3,0,"2000-01",4,18,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Home","UTA"
"Running Jump Shot","Jump Shot",33.9343,-16,110,-118.2858,7,3,0,"2000-01",57,11,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","11","Home","UTA"
"Running Jump Shot","Jump Shot",33.8943,-109,150,-118.3788,5,3,0,"2000-01",47,18,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","UTA"
"Running Jump Shot","Jump Shot",33.9813,-46,63,-118.3158,5,3,0,"2000-01",11,7,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Home","UTA"
"Layup Shot","Layup",34.0443,0,0,-118.2698,2,3,0,"2000-01",36,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","UTA"
"Jump Shot","Jump Shot",33.8483,-58,196,-118.3278,2,3,0,"2000-01",4,20,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","11","Home","UTA"
"Jump Shot","Jump Shot",33.8583,-183,186,-118.4528,0,3,0,"2000-01",30,26,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","11","Home","UTA"
"Jump Shot","Jump Shot",33.8713,85,173,-118.1848,8,4,0,"2000-01",19,19,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Home","UTA"
"Jump Shot","Jump Shot",33.9573,3,87,-118.2668,6,4,0,"2000-01",22,8,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","11","Home","UTA"
"Running Jump Shot","Jump Shot",34.0403,121,4,-118.1488,1,4,0,"2000-01",20,12,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","11","Home","UTA"
"Jump Shot","Jump Shot",34.0103,127,34,-118.1428,0,4,0,"2000-01",30,13,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","11","Home","UTA"
"Jump Shot","Jump Shot",33.8603,91,184,-118.1788,3,2,0,"2000-01",30,20,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Away","VAN"
"Jump Shot","Jump Shot",33.7723,-27,272,-118.2968,0,2,0,"2000-01",4,27,"1","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","11","Away","VAN"
"Jump Shot","Jump Shot",33.9783,-176,66,-118.4458,11,3,0,"2000-01",12,18,"0","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","11","Away","VAN"
"Layup Shot","Layup",34.0403,7,4,-118.2628,10,3,0,"2000-01",13,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","VAN"
"Jump Shot","Jump Shot",33.9113,150,133,-118.1198,8,3,0,"2000-01",59,20,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Away","VAN"
"Jump Shot","Jump Shot",34.0293,49,15,-118.2208,8,3,0,"2000-01",29,5,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Away","VAN"
"Layup Shot","Layup",34.0403,-4,4,-118.2738,3,3,0,"2000-01",21,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","VAN"
"Reverse Dunk Shot","Dunk",34.0403,-4,4,-118.2738,2,3,0,"2000-01",55,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","VAN"
"Slam Dunk Shot","Dunk",34.0353,1,9,-118.2688,2,3,0,"2000-01",38,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","VAN"
"Jump Shot","Jump Shot",33.9243,121,120,-118.1488,4,4,0,"2000-01",55,17,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Away","VAN"
"Layup Shot","Layup",34.0353,1,9,-118.2688,1,4,0,"2000-01",8,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","VAN"
"Layup Shot","Layup",34.0353,-12,9,-118.2818,1,4,0,"2000-01",6,1,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","VAN"
"Jump Shot","Jump Shot",33.9743,24,70,-118.2458,10,1,0,"2000-01",33,7,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Home","LAC"
"Jump Shot","Jump Shot",34.0483,-189,-4,-118.4588,10,1,0,"2000-01",4,18,"0","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","11","Home","LAC"
"Jump Shot","Jump Shot",33.8503,-155,194,-118.4248,2,1,0,"2000-01",33,24,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","11","Home","LAC"
"Jump Shot","Jump Shot",33.8163,1,228,-118.2688,11,2,0,"2000-01",26,22,"1","3PT Field Goal","Center(C)","Mid-Range","16-24 ft.","11","Home","LAC"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,8,2,0,"2000-01",40,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","LAC"
